ConclDir;ConclQ;breaktype;code;correctness;datetime;givenanswer;givenanswertext;nouns;ordering;ordertext;p1;p2;sequence;syllog;time;validConclusions;vpid;cid
AC;O;images;SPKFEB;NVC;2016-07-04T15:17:40+02:00;2;2: Some hunters are not athletes;hunter,athlete,lawyer;3;;;;0;A_1;3780;NVC;35;SPKFEB
AC;E;images;SPKFEB;NVC;2016-07-04T15:17:44+02:00;1;1: No tailors are singers;tailor,singer,pilot;3;;;;1;E_1;3466;NVC;35;SPKFEB
AC;I;images;SPKFEB;NVC;2016-07-04T15:17:48+02:00;3;3: Some managers are models;manager,model,clerk;3;;;;2;I_1;3308;NVC;35;SPKFEB
AC;E;images;SPKFEB;NVC;2016-07-04T15:17:52+02:00;1;1: No butchers are tutors;butcher,tutor,packer;3;;;;3;O_1;3513;NVC;35;SPKFEB
NA;NA;images;SPKFEB;0;2016-07-04T15:18:17+02:00;-1;Space: No conclusion is possible;banker,golfer,teacher;3;;;;0;EA3;3256;Eac,Eca,Oac,Oca;35;SPKFEB
CA;E;images;SPKFEB;0;2016-07-04T15:18:19+02:00;7;7: No mayors are swimmers;swimmer,cook,mayor;3;;;;1;AA1;1849;Aac,Iac,Ica;35;SPKFEB
AC;E;images;SPKFEB;0;2016-07-04T15:18:22+02:00;1;1: No pilots are singers;pilot,tailor,singer;3;;;;2;IA4;2270;Iac,Ica;35;SPKFEB
CA;A;images;SPKFEB;0;2016-07-04T15:18:25+02:00;0;0: All miners are skaters;skater,poet,miner;3;;;;3;AI2;2491;Iac,Ica;35;SPKFEB
CA;O;images;SPKFEB;NVC;2016-07-04T15:18:28+02:00;8;8: Some gamblers are not bakers;baker,sculptor,gambler;3;;;;4;OI3;2524;NVC;35;SPKFEB
NA;NA;images;SPKFEB;NVC;2016-07-04T15:18:30+02:00;-1;Space: No conclusion is possible;camper,engineer,fencer;3;;;;5;OO2;2251;NVC;35;SPKFEB
AC;O;images;SPKFEB;NVC;2016-07-04T15:18:33+02:00;2;2: Some actors are not painters;actor,worker,painter;3;;;;6;OO4;1619;NVC;35;SPKFEB
AC;I;images;SPKFEB;NVC;2016-07-04T15:18:35+02:00;3;3: Some waiters are cashiers;waiter,poet,cashier;3;;;;7;EO4;1544;NVC;35;SPKFEB
CA;E;images;SPKFEB;NVC;2016-07-04T15:18:37+02:00;7;7: No architects are trainers;trainer,designer,architect;3;;;;8;OO1;1455;NVC;35;SPKFEB
AC;E;images;SPKFEB;NVC;2016-07-04T15:18:39+02:00;1;1: No potters are chemists;potter,sailor,chemist;3;;;;9;EE2;1742;NVC;35;SPKFEB
CA;A;images;SPKFEB;NVC;2016-07-04T15:18:41+02:00;0;0: All skaters are therapists;therapist,climber,skater;3;;;;10;OA2;1520;NVC;35;SPKFEB
AC;I;images;SPKFEB;0;2016-07-04T15:18:43+02:00;3;3: Some buyers are cyclists;buyer,student,cyclist;3;;;;11;AO3;1567;Oca;35;SPKFEB
CA;E;images;SPKFEB;NVC;2016-07-04T15:18:45+02:00;7;7: No plumbers are dentists;dentist,lifeguard,plumber;3;;;;12;OE4;1668;NVC;35;SPKFEB
AC;O;images;SPKFEB;1;2016-07-04T15:18:47+02:00;2;2: Some divers are not linguists;diver,carpenter,linguist;3;;;;13;AE2;1781;Oac;35;SPKFEB
CA;I;images;SPKFEB;0;2016-07-04T15:18:49+02:00;9;9: Some hunters are lawyers;lawyer,athlete,hunter;3;;;;14;AO4;1778;Oac;35;SPKFEB
AC;E;images;SPKFEB;NVC;2016-07-04T15:18:51+02:00;1;1: No nurses are drillers;nurse,actor,driller;3;;;;15;II1;1676;NVC;35;SPKFEB
AC;I;images;SPKFEB;NVC;2016-07-04T15:18:53+02:00;3;3: Some butchers are packers;butcher,tutor,packer;3;;;;16;EO3;1579;NVC;35;SPKFEB
CA;E;images;SPKFEB;NVC;2016-07-04T15:18:56+02:00;7;7: No judges are porters;porter,brewer,judge;3;;;;17;II2;1821;NVC;35;SPKFEB
AC;O;images;SPKFEB;0;2016-07-04T15:19:08+02:00;2;2: Some joggers are not counselors;jogger,rider,counselor;3;;;;18;IA1;2538;Iac,Ica;35;SPKFEB
CA;E;images;SPKFEB;NVC;2016-07-04T15:19:10+02:00;7;7: No actuarys are opticians;optician,boxer,actuary;3;;;;19;OE3;1661;NVC;35;SPKFEB
AC;I;images;SPKFEB;NVC;2016-07-04T15:19:12+02:00;3;3: Some tellers are climbers;teller,doctor,climber;3;;;;20;IA2;1539;NVC;35;SPKFEB
CA;E;images;SPKFEB;NVC;2016-07-04T15:19:14+02:00;7;7: No models are clerks;clerk,manager,model;3;;;;21;AO2;1635;NVC;35;SPKFEB
AC;O;images;SPKFEB;1;2016-07-04T15:19:16+02:00;2;2: Some farmers are not scholars;farmer,assistant,scholar;3;;;;22;IE1;1668;Oac;35;SPKFEB
CA;A;images;SPKFEB;NVC;2016-07-04T15:19:18+02:00;0;0: All drivers are writers;writer,hiker,driver;3;;;;23;OI4;1386;NVC;35;SPKFEB
AC;E;images;SPKFEB;NVC;2016-07-04T15:19:20+02:00;1;1: No boxers are typists;boxer,dancer,typist;3;;;;24;EE3;1485;NVC;35;SPKFEB
CA;O;images;SPKFEB;NVC;2016-07-04T15:19:22+02:00;8;8: Some novelists are not travelers;traveler,analyst,novelist;3;;;;25;IO2;1514;NVC;35;SPKFEB
AC;I;images;SPKFEB;0;2016-07-04T15:19:24+02:00;3;3: Some artists are surfers;artist,planner,surfer;3;;;;26;EA2;1258;Eac,Eca,Oac,Oca;35;SPKFEB
CA;I;images;SPKFEB;0;2016-07-04T15:19:26+02:00;9;9: Some brokers are agents;agent,secretary,broker;3;;;;27;IE3;1335;Oac;35;SPKFEB
AC;O;images;SPKFEB;0;2016-07-04T15:19:28+02:00;2;2: Some jugglers are not barbers;juggler,police,barber;3;;;;28;AA4;1710;Iac,Ica;35;SPKFEB
AC;E;images;SPKFEB;NVC;2016-07-04T15:19:30+02:00;1;1: No painters are cleaners;painter,auditor,cleaner;3;;;;29;OA1;1819;NVC;35;SPKFEB
NA;NA;images;SPKFEB;NVC;2016-07-04T15:19:32+02:00;-1;Space: No conclusion is possible;chef,scientist,runner;3;;;;30;II3;1818;NVC;35;SPKFEB
AC;I;images;SPKFEB;NVC;2016-07-04T15:19:34+02:00;3;3: Some soldiers are florists;soldier,editor,florist;3;;;;31;IO3;1533;NVC;35;SPKFEB
CA;E;images;SPKFEB;0;2016-07-04T15:19:37+02:00;7;7: No cashiers are waiters;waiter,poet,cashier;3;;;;32;OA3;1881;Oac;35;SPKFEB
CA;O;images;SPKFEB;NVC;2016-07-04T15:19:39+02:00;8;8: Some drillers are not actors;actor,nurse,driller;3;;;;33;EE1;1557;NVC;35;SPKFEB
AC;E;images;SPKFEB;0;2016-07-04T15:19:48+02:00;1;1: No climbers are doctors;climber,teller,doctor;3;;;;34;AE4;1667;Oac;35;SPKFEB
AC;I;images;SPKFEB;0;2016-07-04T15:19:51+02:00;3;3: Some scholars are assistants;scholar,farmer,assistant;3;;;;35;EI2;1671;Oca;35;SPKFEB
AC;O;images;SPKFEB;0;2016-07-04T15:19:53+02:00;2;2: Some models are not clerks;model,manager,clerk;3;;;;36;EI4;1894;Oca;35;SPKFEB
CA;E;images;SPKFEB;0;2016-07-04T15:19:55+02:00;7;7: No engineers are fencers;fencer,camper,engineer;3;;;;37;EI3;1681;Oca;35;SPKFEB
CA;I;images;SPKFEB;NVC;2016-07-04T15:19:57+02:00;9;9: Some chemists are potters;potter,sailor,chemist;3;;;;38;EO2;1738;NVC;35;SPKFEB
AC;I;images;SPKFEB;0;2016-07-04T15:20:00+02:00;3;3: Some linguists are carpenters;linguist,diver,carpenter;3;;;;39;IE2;2385;Oac;35;SPKFEB
AC;O;images;SPKFEB;NVC;2016-07-04T15:20:02+02:00;2;2: Some drivers are not hikers;driver,writer,hiker;3;;;;40;II4;1559;NVC;35;SPKFEB
AC;A;images;SPKFEB;NVC;2016-07-04T15:20:05+02:00;4;4: All painters are cleaners;painter,auditor,cleaner;3;;;;41;IA3;2808;NVC;35;SPKFEB
AC;E;images;SPKFEB;0;2016-07-04T15:20:08+02:00;1;1: No lifeguards are plumbers;lifeguard,dentist,plumber;3;;;;42;EA4;1895;Oca;35;SPKFEB
CA;O;images;SPKFEB;NVC;2016-07-04T15:20:10+02:00;8;8: Some swimmers are not mayors;mayor,cook,swimmer;3;;;;43;AA3;1505;NVC;35;SPKFEB
CA;I;images;SPKFEB;0;2016-07-04T15:20:12+02:00;9;9: Some skaters are climbers;climber,therapist,skater;3;;;;44;EI1;2244;Oca;35;SPKFEB
